marka,model,yil,km,vites,yakit,motor,kasa,hasar,fiyat
BMW,X5,2021,31307,otomatik,dizel,1.4,hatchback,var,863996
Fiat,500X,2022,24868,otomatik,benzin,1.0,sedan,var,658923
Hyundai,Tucson,2018,92385,otomatik,hybrid,1.4,sedan,yok,1364795
Honda,Accord,2021,128081,otomatik,dizel,1.6,sedan,yok,1476454
Volkswagen,Passat,2017,156674,otomatik,benzin,1.4,hatchback,var,256265
BMW,X5,2017,102721,manuel,hybrid,1.4,suv,yok,1160889
Volkswagen,Arteon,2021,75974,otomatik,benzin,1.4,hatchback,yok,1256653
Hyundai,Kona,2023,25043,manuel,benzin,1.3,sedan,yok,1530481
Mercedes,A180,2021,101356,otomatik,hybrid,1.5,suv,yok,1663703
Fiat,500X,2022,184848,manuel,benzin,2.0,sedan,yok,1556332
Toyota,RAV4,2016,86583,manuel,dizel,1.5,sedan,yok,530921
Ford,Puma,2020,104747,otomatik,benzin,1.3,suv,yok,651611
Fiat,Tipo,2023,109621,otomatik,dizel,1.0,hatchback,yok,310372
Renault,Kadjar,2022,54857,manuel,dizel,1.0,sedan,var,626227
Volkswagen,Golf,2022,32542,otomatik,dizel,1.0,suv,yok,289397
Volkswagen,Golf,2016,157625,otomatik,hybrid,1.4,sedan,yok,293392
Ford,Kuga,2022,75688,otomatik,benzin,1.0,hatchback,yok,402960
BMW,116i,2021,39972,manuel,benzin,1.6,sedan,yok,1719483
Renault,Megane,2015,32582,otomatik,dizel,1.0,sedan,yok,1442697
Ford,Mondeo,2016,73189,otomatik,benzin,1.3,hatchback,yok,1034322
Ford,Fiesta,2023,37203,otomatik,dizel,1.4,hatchback,yok,1903159
Audi,Q5,2016,78102,manuel,benzin,1.3,sedan,yok,179318
Hyundai,i30,2019,56188,otomatik,benzin,2.0,hatchback,var,247406
Ford,Mondeo,2018,197406,otomatik,dizel,1.3,sedan,yok,800588
Volkswagen,Polo,2022,143393,manuel,elektrik,1.0,sedan,yok,975577
Toyota,RAV4,2023,84273,manuel,dizel,1.4,suv,yok,841986
Mercedes,C180,2019,117192,otomatik,benzin,1.3,sedan,var,1694293
Volkswagen,Passat,2015,49171,otomatik,dizel,1.5,sedan,yok,306837
Toyota,C-HR,2016,148034,otomatik,dizel,1.0,sedan,yok,1519939
Toyota,RAV4,2020,111715,otomatik,dizel,1.4,hatchback,var,1203681
Hyundai,i10,2019,101578,otomatik,dizel,2.0,sedan,yok,1365742
Volkswagen,Golf,2018,18310,otomatik,dizel,1.4,sedan,yok,224771
Audi,A4,2015,115563,otomatik,benzin,1.4,sedan,yok,100000
Toyota,RAV4,2017,166577,manuel,hybrid,2.0,suv,yok,1593101
Mercedes,E250,2021,175557,otomatik,dizel,1.3,sedan,yok,1368481
Hyundai,Kona,2018,113765,otomatik,benzin,1.0,suv,yok,1592471
Volkswagen,Arteon,2021,70723,otomatik,benzin,1.0,sedan,yok,1312833
Audi,A4,2015,90235,otomatik,benzin,1.5,sedan,yok,480170
Honda,Jazz,2021,167989,otomatik,benzin,1.6,sedan,yok,1183927
Hyundai,Kona,2023,13254,otomatik,dizel,1.3,suv,yok,1553344
Renault,Megane,2021,55180,manuel,benzin,1.6,sedan,yok,159114
Audi,A4,2015,185812,otomatik,hybrid,2.0,suv,var,618458
Honda,Jazz,2019,199881,otomatik,benzin,1.3,sedan,yok,1266518
Renault,Clio,2016,5362,otomatik,benzin,1.4,hatchback,var,152893
Toyota,Camry,2023,153194,manuel,benzin,1.5,sedan,yok,1114311
Hyundai,Kona,2020,50771,otomatik,benzin,1.3,sedan,yok,1109418
Volkswagen,Passat,2018,31831,otomatik,dizel,1.3,sedan,yok,1576821
Volkswagen,Polo,2016,7572,otomatik,dizel,1.6,sedan,yok,923380
Volkswagen,Tiguan,2023,153468,manuel,dizel,1.5,sedan,yok,543895
Renault,Kadjar,2015,159789,manuel,dizel,1.6,hatchback,yok,416699
Toyota,Yaris,2017,101646,otomatik,benzin,2.0,suv,var,1218770
Hyundai,Tucson,2016,187344,otomatik,dizel,2.0,sedan,var,100000
Renault,Talisman,2017,7416,otomatik,dizel,1.4,hatchback,var,1534700
Fiat,500X,2015,104272,otomatik,dizel,1.6,hatchback,yok,882481
Toyota,Yaris,2023,117207,otomatik,benzin,2.0,hatchback,var,638233
Fiat,Tipo,2015,194221,otomatik,dizel,1.5,hatchback,var,1300819
Volkswagen,Golf,2015,110261,manuel,dizel,1.0,sedan,yok,1493611
Toyota,Camry,2017,178621,otomatik,benzin,1.4,hatchback,yok,1241153
BMW,X5,2022,21358,manuel,elektrik,1.0,sedan,yok,483749
Renault,Talisman,2019,3697,otomatik,dizel,1.3,sedan,yok,100000
Audi,A4,2017,136427,manuel,hybrid,2.0,sedan,yok,158221
Toyota,C-HR,2016,147935,otomatik,benzin,1.4,sedan,var,791497
Volkswagen,Passat,2017,156876,otomatik,dizel,1.3,sedan,yok,334574
Toyota,Yaris,2019,51684,otomatik,dizel,1.0,hatchback,yok,1333707
Ford,Kuga,2023,35228,otomatik,dizel,2.0,hatchback,var,1213966
Fiat,500X,2019,124174,otomatik,benzin,1.0,suv,yok,1559929
Toyota,Corolla,2020,87251,manuel,benzin,1.3,hatchback,yok,1422330
Renault,Clio,2017,5621,otomatik,benzin,1.6,suv,yok,1555679
Volkswagen,Polo,2017,179122,otomatik,dizel,1.0,sedan,yok,100000
Renault,Clio,2018,182037,otomatik,benzin,1.6,hatchback,var,586506
Renault,Captur,2018,160787,otomatik,benzin,1.4,suv,var,937906
BMW,520i,2018,129870,otomatik,elektrik,1.3,suv,yok,1048975
Hyundai,i20,2016,80066,manuel,elektrik,2.0,suv,var,327196
Renault,Kadjar,2016,83849,manuel,dizel,1.3,sedan,yok,194468
Ford,Fiesta,2021,19397,manuel,dizel,1.3,sedan,var,1372911
BMW,320i,2022,181940,manuel,benzin,1.4,sedan,yok,771500
Hyundai,i20,2020,55076,otomatik,dizel,1.3,hatchback,var,1037045
BMW,116i,2021,4748,otomatik,benzin,1.5,hatchback,yok,481177
Ford,Puma,2020,65974,otomatik,dizel,2.0,sedan,yok,976512
Audi,A3,2021,190505,otomatik,benzin,2.0,hatchback,yok,1297541
Renault,Captur,2023,67763,manuel,dizel,2.0,sedan,yok,1650880
Fiat,500X,2020,107190,otomatik,dizel,1.3,sedan,yok,161843
Volkswagen,Polo,2018,187237,otomatik,hybrid,1.4,hatchback,var,1675831
Renault,Kadjar,2016,176440,otomatik,benzin,1.4,sedan,yok,1311453
Mercedes,A180,2016,169041,otomatik,benzin,1.0,sedan,yok,703548
Audi,A4,2015,182374,manuel,benzin,1.4,sedan,var,544576
Hyundai,i30,2020,164792,otomatik,benzin,1.3,sedan,var,582191
Mercedes,A180,2018,72161,manuel,dizel,1.6,suv,yok,662345
Honda,HR-V,2018,127484,otomatik,benzin,1.3,sedan,yok,1247165
BMW,520i,2018,180510,otomatik,hybrid,2.0,suv,yok,1366712
Ford,Mondeo,2021,173443,otomatik,benzin,1.4,hatchback,var,1573076
Mercedes,E250,2016,39533,manuel,dizel,1.4,hatchback,yok,1094310
Hyundai,i10,2015,46485,otomatik,benzin,1.4,sedan,var,1136527
Mercedes,E250,2021,184272,otomatik,benzin,1.4,sedan,yok,901440
Toyota,Camry,2018,41648,otomatik,dizel,1.6,sedan,yok,1624739
Ford,Kuga,2019,26982,manuel,hybrid,1.5,hatchback,yok,100000
Mercedes,CLA200,2017,198595,manuel,hybrid,1.3,suv,var,808550
Hyundai,i30,2023,20528,manuel,benzin,1.4,suv,yok,1036902
Volkswagen,Tiguan,2016,154589,manuel,benzin,1.3,suv,yok,404313
Volkswagen,Polo,2020,10952,otomatik,elektrik,2.0,hatchback,yok,384211
Mercedes,A180,2021,71635,manuel,benzin,1.0,suv,yok,1563576
Mercedes,E250,2017,64775,otomatik,hybrid,1.0,sedan,yok,510774
Toyota,Corolla,2017,108132,otomatik,dizel,1.4,hatchback,var,350723
Mercedes,E250,2020,118469,manuel,elektrik,1.5,hatchback,yok,435353
BMW,M4,2016,130832,otomatik,dizel,1.0,hatchback,var,816084
BMW,320i,2015,28308,otomatik,dizel,1.4,suv,yok,100000
BMW,X5,2021,171450,otomatik,hybrid,1.5,suv,yok,195683
BMW,116i,2017,179501,otomatik,dizel,2.0,suv,yok,867824
Mercedes,CLA200,2019,148307,manuel,dizel,1.5,hatchback,yok,1343378
Toyota,Corolla,2015,77712,manuel,dizel,1.5,hatchback,var,279942
Audi,A6,2015,125601,otomatik,hybrid,1.6,hatchback,yok,1294499
Ford,Kuga,2021,59373,otomatik,benzin,1.3,sedan,yok,872975
Renault,Megane,2018,35198,otomatik,elektrik,2.0,hatchback,yok,1418904
Volkswagen,Polo,2020,10810,manuel,dizel,1.3,hatchback,yok,603145
Ford,Mondeo,2017,142574,otomatik,benzin,1.4,hatchback,yok,426705
BMW,520i,2023,132138,otomatik,benzin,1.5,sedan,var,902276
BMW,520i,2022,187366,otomatik,hybrid,1.3,sedan,var,1226604
BMW,M4,2015,172623,otomatik,benzin,1.4,sedan,var,262268
Volkswagen,Golf,2021,98971,otomatik,benzin,1.3,sedan,yok,400661
Volkswagen,Tiguan,2023,182727,manuel,dizel,1.5,hatchback,yok,1816853
Audi,Q7,2019,44731,manuel,dizel,1.0,sedan,yok,1030639
BMW,X5,2022,153652,otomatik,hybrid,1.4,hatchback,yok,1308877
Volkswagen,Arteon,2015,35343,otomatik,dizel,1.5,sedan,yok,1447727
Honda,Civic,2015,34906,otomatik,hybrid,1.0,sedan,yok,1514280
Hyundai,i30,2017,30137,otomatik,dizel,1.4,sedan,yok,651543
BMW,520i,2015,112356,otomatik,benzin,1.4,hatchback,yok,100000
Fiat,Egea,2022,130709,manuel,dizel,1.6,hatchback,var,1273639
Ford,Fiesta,2015,172373,otomatik,benzin,1.5,sedan,yok,478819
Volkswagen,Tiguan,2017,61065,manuel,benzin,2.0,sedan,yok,695847
Renault,Kadjar,2016,189370,otomatik,dizel,1.0,hatchback,yok,216277
Ford,Puma,2022,104187,otomatik,dizel,1.6,suv,yok,285022
Honda,Civic,2021,134659,otomatik,dizel,2.0,sedan,yok,1719509
BMW,M4,2022,73272,manuel,hybrid,1.0,sedan,yok,1072321
Hyundai,i20,2019,75915,otomatik,dizel,1.3,sedan,yok,1092968
Toyota,Camry,2022,185440,otomatik,benzin,1.4,hatchback,yok,1679480
Honda,Civic,2017,101061,otomatik,benzin,1.0,hatchback,yok,1230359
Fiat,Tipo,2018,151891,manuel,benzin,1.0,suv,yok,100000
Volkswagen,Arteon,2016,139026,otomatik,benzin,1.3,sedan,yok,100000
Renault,Talisman,2016,57154,otomatik,benzin,1.0,suv,yok,294471
Audi,A3,2020,162372,manuel,benzin,1.5,sedan,yok,1063259
Audi,Q7,2023,45820,otomatik,elektrik,1.3,hatchback,yok,1566304
BMW,520i,2019,10516,otomatik,dizel,1.3,sedan,yok,138312
Fiat,500X,2021,154180,manuel,hybrid,2.0,sedan,yok,316395
Fiat,500,2022,3608,otomatik,benzin,1.0,sedan,yok,1448256
Hyundai,i10,2019,184483,otomatik,benzin,1.0,suv,yok,909025
Fiat,500,2020,50694,otomatik,dizel,1.0,sedan,yok,1424514
BMW,X5,2017,108272,otomatik,dizel,2.0,hatchback,yok,1333055
BMW,520i,2017,105911,manuel,dizel,2.0,hatchback,yok,1453274
Toyota,C-HR,2021,50160,otomatik,benzin,2.0,sedan,var,824968
Honda,Jazz,2021,145803,manuel,dizel,1.0,suv,yok,1549993
Honda,Jazz,2020,139096,otomatik,benzin,1.5,sedan,var,1365929
Fiat,500,2018,102510,manuel,dizel,1.3,sedan,yok,664269
Fiat,Panda,2020,4223,otomatik,hybrid,1.5,hatchback,yok,845181
Renault,Megane,2023,163319,manuel,dizel,1.3,hatchback,var,800764
Hyundai,Tucson,2019,111471,manuel,dizel,2.0,hatchback,var,1310314
Mercedes,GLA200,2015,7834,otomatik,benzin,1.5,sedan,yok,153377
Renault,Clio,2023,14586,otomatik,benzin,1.4,hatchback,yok,1669637
Audi,A6,2020,63771,otomatik,dizel,1.4,hatchback,yok,1332536
Ford,Puma,2022,37370,manuel,hybrid,1.5,hatchback,yok,377295
Audi,Q7,2020,145272,otomatik,benzin,2.0,hatchback,yok,1647788
Volkswagen,Tiguan,2020,2445,manuel,benzin,1.6,hatchback,yok,589617
Honda,Civic,2015,172832,otomatik,hybrid,1.6,sedan,yok,1012731
Volkswagen,Golf,2020,55034,otomatik,dizel,1.6,sedan,yok,982030
Renault,Captur,2017,127964,otomatik,benzin,1.3,suv,yok,541470
Toyota,Camry,2023,28199,manuel,benzin,1.3,sedan,yok,1579520
Audi,Q5,2020,110945,otomatik,benzin,1.6,suv,yok,1214389
Honda,Accord,2018,138451,otomatik,dizel,1.3,suv,yok,493744
BMW,M4,2022,47120,otomatik,dizel,1.3,hatchback,var,1722721
Volkswagen,Tiguan,2020,70769,otomatik,dizel,1.4,hatchback,yok,317347
Honda,Civic,2017,29060,otomatik,benzin,2.0,hatchback,yok,831979
Honda,Jazz,2017,196970,otomatik,benzin,1.6,suv,yok,471557
Mercedes,E250,2015,129755,manuel,benzin,2.0,sedan,yok,240578
BMW,116i,2018,138543,otomatik,benzin,1.3,hatchback,yok,100000
Renault,Megane,2023,172567,manuel,benzin,1.4,sedan,yok,700607
Volkswagen,Polo,2023,15295,manuel,dizel,1.4,hatchback,yok,1910189
Audi,Q5,2018,8669,otomatik,benzin,1.4,sedan,yok,929324
BMW,M4,2019,159822,otomatik,dizel,1.6,suv,var,351246
Toyota,C-HR,2019,132466,otomatik,benzin,1.5,sedan,var,100000
Hyundai,Kona,2015,162457,manuel,benzin,1.6,sedan,yok,101550
Ford,Puma,2015,125594,manuel,benzin,2.0,suv,yok,1300676
Audi,Q5,2019,42892,otomatik,benzin,1.3,hatchback,yok,165271
BMW,116i,2016,23535,otomatik,hybrid,1.6,suv,yok,513423
Renault,Captur,2017,120305,otomatik,benzin,1.6,sedan,var,1032153
Volkswagen,Arteon,2022,190988,otomatik,dizel,1.6,sedan,yok,414010
Fiat,Tipo,2022,173411,otomatik,dizel,1.4,hatchback,yok,286273
BMW,520i,2015,53955,otomatik,dizel,2.0,sedan,yok,245002
Toyota,Yaris,2018,93452,otomatik,hybrid,1.5,sedan,yok,749533
Ford,Focus,2016,18590,otomatik,benzin,1.6,hatchback,var,1010595
Renault,Clio,2022,173036,otomatik,dizel,1.0,sedan,yok,609497
Toyota,Camry,2021,3145,otomatik,dizel,1.3,sedan,yok,228110
Fiat,Panda,2015,136926,otomatik,elektrik,1.0,sedan,yok,1224508
Ford,Kuga,2020,161729,otomatik,benzin,1.6,sedan,yok,642534
Ford,Mondeo,2015,32928,otomatik,dizel,1.3,sedan,yok,750359
Fiat,Panda,2022,50320,otomatik,dizel,1.4,sedan,yok,1805144
Ford,Puma,2017,121412,manuel,dizel,1.6,suv,var,870523
BMW,320i,2023,72010,otomatik,hybrid,1.4,suv,yok,1466880
Ford,Focus,2016,49687,manuel,dizel,1.0,sedan,yok,100000
Hyundai,i20,2018,33220,otomatik,elektrik,1.3,sedan,yok,1167528
Hyundai,i30,2023,75058,otomatik,dizel,1.5,sedan,var,785368
BMW,M4,2017,119848,otomatik,dizel,1.0,sedan,yok,1071908
Audi,A3,2022,180423,otomatik,dizel,1.0,hatchback,yok,861137
Mercedes,E250,2017,178198,otomatik,hybrid,2.0,sedan,yok,1577623
Audi,A4,2021,64376,otomatik,benzin,1.3,suv,yok,1724100
BMW,X5,2023,100213,otomatik,dizel,1.5,sedan,var,1747433
Honda,Jazz,2015,95208,otomatik,dizel,1.4,sedan,var,1268814
Fiat,Panda,2019,116216,manuel,benzin,1.3,sedan,yok,100000
Hyundai,i20,2020,133446,otomatik,benzin,1.0,sedan,yok,1653433
Honda,CR-V,2019,65055,otomatik,elektrik,2.0,sedan,yok,808551
Toyota,Camry,2023,175382,otomatik,dizel,2.0,sedan,yok,401105
Ford,Fiesta,2017,88075,manuel,hybrid,1.3,hatchback,yok,439265
Volkswagen,Golf,2022,155590,otomatik,hybrid,1.6,sedan,yok,1599892
Volkswagen,Tiguan,2016,60407,otomatik,benzin,1.3,sedan,yok,1024432
Honda,Accord,2021,120089,otomatik,elektrik,1.5,sedan,yok,1200934
Volkswagen,Arteon,2022,103551,manuel,dizel,1.5,hatchback,yok,291732
Mercedes,C180,2020,19385,otomatik,benzin,1.5,hatchback,var,419124
Toyota,RAV4,2021,256,otomatik,dizel,1.5,suv,yok,1015073
Renault,Captur,2020,25984,manuel,dizel,1.0,sedan,yok,529851
BMW,M4,2020,50290,otomatik,dizel,1.6,hatchback,yok,1765547
Volkswagen,Passat,2015,88726,otomatik,dizel,1.3,sedan,yok,100000
Ford,Focus,2022,50948,otomatik,hybrid,2.0,sedan,yok,1495185
Hyundai,i10,2015,174872,manuel,benzin,1.0,hatchback,yok,1228751
BMW,X5,2015,129050,otomatik,hybrid,1.3,sedan,yok,424500
Mercedes,A180,2020,145166,otomatik,benzin,1.6,suv,var,864412
Volkswagen,Arteon,2018,170806,otomatik,dizel,1.0,suv,yok,142101
Hyundai,Kona,2018,27632,otomatik,dizel,1.4,hatchback,yok,409486
Ford,Fiesta,2020,166433,manuel,benzin,1.4,sedan,yok,843259
Hyundai,Kona,2023,39615,otomatik,benzin,2.0,hatchback,yok,863154
Ford,Focus,2023,165885,otomatik,hybrid,1.5,hatchback,yok,1534039
Ford,Fiesta,2018,192050,otomatik,dizel,1.0,sedan,yok,454146
Mercedes,A180,2018,46176,manuel,hybrid,1.6,sedan,yok,907018
Ford,Focus,2019,93926,otomatik,benzin,1.3,sedan,var,1098697
Hyundai,i20,2020,24431,manuel,benzin,1.6,hatchback,yok,239402
BMW,M4,2020,37584,otomatik,hybrid,2.0,suv,yok,565468
Audi,A3,2022,123356,otomatik,benzin,1.6,sedan,yok,1102530
Fiat,Egea,2018,72853,otomatik,dizel,1.5,hatchback,yok,1201306
Toyota,C-HR,2022,158237,otomatik,dizel,1.0,hatchback,yok,682483
BMW,116i,2022,58634,otomatik,hybrid,1.6,sedan,var,833095
Renault,Megane,2016,154821,manuel,elektrik,1.6,sedan,yok,100000
Hyundai,Kona,2016,166238,manuel,benzin,1.6,sedan,yok,314932
Mercedes,CLA200,2016,50068,otomatik,benzin,2.0,sedan,yok,1293374
Fiat,Tipo,2018,126503,manuel,benzin,1.0,hatchback,yok,1667475
Toyota,Camry,2023,38726,otomatik,benzin,2.0,sedan,yok,815682
Fiat,500X,2023,26547,otomatik,hybrid,2.0,sedan,var,1563136
Honda,Jazz,2021,163804,otomatik,benzin,1.6,sedan,var,856311
Ford,Fiesta,2015,19110,manuel,benzin,1.4,suv,var,325621
Fiat,Tipo,2020,99259,manuel,benzin,1.3,suv,yok,287124
Ford,Kuga,2016,138048,otomatik,dizel,1.4,hatchback,yok,421658
Renault,Talisman,2018,58455,otomatik,benzin,1.0,hatchback,yok,878335
Fiat,Panda,2016,24216,manuel,benzin,1.4,sedan,yok,636945
Ford,Focus,2022,37829,otomatik,benzin,1.3,sedan,yok,521466
Honda,Jazz,2015,59789,manuel,dizel,1.3,hatchback,var,1303151
BMW,M4,2022,12413,manuel,dizel,1.3,suv,yok,404135
Audi,Q5,2022,97603,otomatik,dizel,1.3,sedan,yok,921363
Honda,Accord,2016,96458,otomatik,elektrik,1.3,hatchback,yok,617068
Honda,Accord,2020,92514,otomatik,hybrid,1.0,sedan,yok,889327
Ford,Puma,2021,178728,otomatik,dizel,1.0,sedan,yok,200359
Ford,Fiesta,2015,118818,otomatik,benzin,1.0,sedan,yok,1184135
Honda,Accord,2023,114561,otomatik,benzin,1.4,suv,yok,604825
Audi,A3,2016,172329,otomatik,elektrik,1.3,sedan,var,1269328
Ford,Mondeo,2015,30388,otomatik,benzin,1.3,suv,yok,1231894
BMW,X5,2016,176488,otomatik,dizel,1.6,sedan,yok,1489448
BMW,520i,2021,166398,otomatik,benzin,1.3,sedan,yok,449447
Honda,CR-V,2015,67239,otomatik,dizel,2.0,sedan,yok,469251
Mercedes,GLA200,2019,2483,manuel,dizel,1.0,suv,yok,1705653
Ford,Mondeo,2022,28466,manuel,dizel,1.3,sedan,yok,957847
Mercedes,GLA200,2017,18423,otomatik,benzin,2.0,sedan,yok,895241
Honda,Civic,2023,50584,manuel,benzin,1.4,sedan,var,1170306
Volkswagen,Passat,2022,106749,otomatik,dizel,1.6,suv,var,781226
BMW,520i,2018,155596,otomatik,benzin,2.0,hatchback,yok,1206540
Honda,Civic,2016,51075,otomatik,benzin,1.5,sedan,var,849371
Hyundai,i20,2021,17189,manuel,hybrid,1.0,sedan,yok,459515
Hyundai,i30,2018,32818,manuel,hybrid,1.6,sedan,var,1096542
Mercedes,C180,2019,75308,otomatik,hybrid,1.3,sedan,yok,1720033
Honda,CR-V,2022,121881,manuel,dizel,1.5,sedan,yok,1458847
Ford,Focus,2023,96874,otomatik,benzin,2.0,sedan,yok,806338
Mercedes,CLA200,2016,78735,otomatik,dizel,2.0,sedan,yok,616636
Volkswagen,Passat,2017,73703,otomatik,dizel,1.0,sedan,var,1264479
BMW,X5,2020,167813,otomatik,elektrik,1.4,suv,var,932499
Honda,Accord,2015,93743,manuel,benzin,1.4,hatchback,yok,1505922
Ford,Fiesta,2018,55216,otomatik,benzin,1.3,suv,yok,395805
Volkswagen,Tiguan,2016,47022,manuel,dizel,1.4,sedan,yok,1187428
Renault,Captur,2023,6624,otomatik,benzin,1.3,suv,yok,900716
BMW,X5,2017,84167,otomatik,benzin,1.3,sedan,yok,1225886
Renault,Captur,2022,140670,otomatik,dizel,1.0,sedan,yok,828134
Hyundai,i10,2023,67745,otomatik,dizel,1.5,suv,yok,447175
Hyundai,Kona,2023,152287,otomatik,hybrid,1.0,sedan,yok,1527522
Hyundai,i30,2016,158599,otomatik,benzin,1.5,hatchback,yok,1193910
Volkswagen,Golf,2022,74394,otomatik,hybrid,2.0,sedan,yok,893905
BMW,X5,2017,145750,manuel,hybrid,1.5,hatchback,yok,233659
Fiat,Egea,2015,131396,otomatik,benzin,2.0,sedan,yok,127235
Honda,Accord,2015,115847,manuel,benzin,2.0,suv,yok,867794
BMW,320i,2021,179815,otomatik,benzin,1.5,sedan,var,792303
Toyota,C-HR,2018,188801,manuel,benzin,1.5,sedan,yok,877464
BMW,520i,2019,15144,otomatik,dizel,2.0,sedan,yok,1254294
Volkswagen,Arteon,2020,122208,manuel,dizel,1.6,hatchback,yok,1439265
Hyundai,i10,2020,10297,manuel,benzin,1.6,hatchback,yok,1439936
BMW,M4,2020,183942,otomatik,benzin,1.4,hatchback,yok,458972
Renault,Captur,2017,16429,otomatik,benzin,1.3,sedan,yok,1272475
Hyundai,Tucson,2020,187900,otomatik,dizel,2.0,sedan,yok,1701544
BMW,320i,2019,59885,otomatik,benzin,1.3,hatchback,yok,670213
Toyota,Camry,2017,11932,manuel,dizel,1.0,hatchback,var,101028
Audi,Q7,2022,161521,otomatik,benzin,1.4,hatchback,var,1627519
BMW,116i,2016,177390,otomatik,benzin,1.5,suv,yok,824485
Ford,Focus,2020,119583,otomatik,dizel,2.0,sedan,yok,243653
BMW,116i,2016,14607,manuel,elektrik,1.6,sedan,yok,1274326
Hyundai,Kona,2023,160514,otomatik,dizel,1.6,sedan,var,346567
Honda,Civic,2015,88743,otomatik,benzin,2.0,suv,yok,277483
Audi,Q7,2015,151896,otomatik,dizel,2.0,suv,yok,199542
Ford,Fiesta,2023,194754,manuel,benzin,1.4,hatchback,yok,894551
Volkswagen,Polo,2019,157601,manuel,hybrid,1.0,sedan,yok,1546189
Audi,Q5,2022,179214,manuel,dizel,1.4,hatchback,yok,1561815
Renault,Talisman,2020,195462,otomatik,benzin,1.3,hatchback,yok,735135
BMW,116i,2020,100465,otomatik,dizel,2.0,suv,yok,1135374
Mercedes,A180,2016,114347,otomatik,hybrid,1.5,hatchback,yok,600522
Ford,Puma,2018,46018,manuel,hybrid,1.3,sedan,yok,1087036
BMW,116i,2016,42911,otomatik,benzin,1.0,suv,yok,1501098
BMW,M4,2021,93951,otomatik,dizel,1.4,sedan,yok,456907
Renault,Clio,2019,85939,manuel,benzin,1.0,sedan,yok,1094832
Mercedes,E250,2019,73830,otomatik,benzin,1.6,sedan,yok,1435001
BMW,X5,2017,169111,manuel,dizel,1.5,sedan,yok,533341
Volkswagen,Tiguan,2020,191387,otomatik,benzin,1.4,sedan,yok,238079
Toyota,RAV4,2022,97414,manuel,hybrid,1.5,hatchback,yok,1139788
Ford,Fiesta,2019,22952,manuel,benzin,1.4,sedan,yok,1525687
BMW,520i,2020,154511,otomatik,elektrik,2.0,sedan,yok,1616463
Toyota,Corolla,2020,101204,manuel,benzin,1.0,suv,yok,462416
Ford,Mondeo,2015,50411,otomatik,hybrid,1.5,hatchback,yok,420562
Renault,Megane,2019,81160,otomatik,hybrid,1.4,hatchback,var,742433
Honda,Accord,2019,1762,otomatik,dizel,2.0,sedan,yok,1439267
Honda,Accord,2018,13605,manuel,dizel,1.3,hatchback,yok,1501339
BMW,X5,2015,119983,manuel,dizel,1.3,suv,yok,592679
Renault,Clio,2022,172968,manuel,dizel,1.6,sedan,yok,877261
Renault,Megane,2019,69987,manuel,benzin,1.4,hatchback,var,1523832
Volkswagen,Polo,2022,102126,otomatik,dizel,1.6,hatchback,yok,1802692
Mercedes,C180,2018,74066,otomatik,hybrid,1.5,suv,yok,1566949
Fiat,Tipo,2018,123308,otomatik,benzin,1.6,hatchback,yok,1139133
Ford,Fiesta,2020,9980,otomatik,dizel,2.0,suv,yok,976627
Audi,A4,2016,116736,otomatik,hybrid,1.4,sedan,yok,1536316
Hyundai,i30,2017,145352,manuel,hybrid,1.6,suv,yok,1182570
Fiat,Panda,2020,189784,manuel,dizel,1.3,sedan,yok,1489676
BMW,X5,2022,133305,otomatik,benzin,1.0,sedan,yok,450138
Honda,HR-V,2021,16416,manuel,benzin,1.5,suv,yok,1793056
Mercedes,A180,2019,64090,otomatik,elektrik,1.4,sedan,var,982656
Honda,HR-V,2023,119539,otomatik,dizel,1.3,suv,yok,1830389
Renault,Megane,2021,145880,otomatik,dizel,1.6,sedan,yok,1559050
Fiat,500,2021,155785,otomatik,dizel,2.0,sedan,yok,904443
BMW,520i,2019,154656,otomatik,benzin,1.6,suv,yok,1307918
Toyota,Yaris,2017,21200,otomatik,dizel,1.5,sedan,yok,402113
Hyundai,i10,2019,19150,manuel,dizel,1.5,suv,var,979323
BMW,M4,2018,182016,otomatik,dizel,1.3,suv,yok,1211163
Fiat,500X,2023,117029,otomatik,dizel,1.0,sedan,yok,796424
Toyota,Camry,2015,102824,otomatik,benzin,1.0,suv,yok,465480
Ford,Puma,2018,198177,otomatik,dizel,1.6,sedan,yok,768097
Audi,A4,2018,187719,otomatik,dizel,1.0,hatchback,yok,1281888
Hyundai,Kona,2020,28103,manuel,benzin,1.0,hatchback,yok,162648
Ford,Puma,2016,132017,otomatik,dizel,1.0,sedan,var,1363269
Renault,Kadjar,2022,100754,otomatik,hybrid,1.5,sedan,yok,791810
Ford,Focus,2019,131703,otomatik,dizel,1.0,sedan,yok,425616
Honda,Civic,2018,171794,manuel,dizel,2.0,sedan,yok,538315
Mercedes,E250,2022,177032,otomatik,dizel,1.0,sedan,yok,537902
Mercedes,CLA200,2023,155422,otomatik,dizel,1.6,hatchback,yok,680911
BMW,520i,2022,127933,otomatik,hybrid,1.0,suv,yok,1309923
Ford,Kuga,2015,78838,otomatik,benzin,1.4,suv,yok,1461804
Hyundai,Tucson,2018,116151,manuel,benzin,1.3,sedan,yok,924350
Mercedes,A180,2022,183954,otomatik,dizel,1.5,sedan,yok,594551
BMW,M4,2015,8761,otomatik,benzin,1.0,hatchback,var,1291514
Volkswagen,Polo,2015,25687,otomatik,hybrid,1.4,hatchback,var,1539629
